Random Scheduling,Hillclimber,Exponential,Sigmoidal,Linear,Geman
-816,606,840,429,772,804
-816,606,840,429,772,803
-817,606,840,429,772,803
-818,605,840,429,772,802
-819,605,840,428,772,802
-820,605,840,428,771,802
-820,605,840,428,771,802
-821,605,840,428,771,801
-821,605,840,427,771,801
-821,605,840,427,770,801
-822,604,840,427,770,801
-822,604,840,427,770,801
-823,604,840,426,770,801
-824,604,840,426,770,801
-824,603,840,426,770,801
-824,603,840,425,769,801
-824,603,840,425,769,800
-824,602,835,425,769,800
-825,602,835,425,769,800
-825,602,835,425,769,800
-825,601,835,425,769,800
-826,601,835,424,769,800
-827,600,835,424,769,799
-827,600,835,424,769,799
-828,600,835,423,769,799
-829,600,835,423,768,798
-830,599,835,423,768,798
-830,599,835,422,768,798
-830,599,835,422,768,798
-831,598,835,422,768,798
-831,598,835,422,768,798
-831,597,835,422,768,798
-831,597,835,422,768,798
-831,597,835,422,767,798
-831,596,835,421,767,797
-832,596,835,421,767,797
-832,595,835,420,767,797
-833,595,835,419,767,797
-833,595,835,419,767,796
-833,595,832,419,767,796
-834,595,832,418,766,796
-835,594,831,418,766,795
-837,593,831,417,766,795
-837,593,831,417,766,795
-838,592,831,417,766,795
-838,592,831,417,766,795
-838,592,831,416,765,795
-838,591,831,416,765,794
-838,591,830,416,765,794
-838,591,830,415,765,794
-839,590,830,414,765,794
-840,590,830,414,765,794
-840,590,830,413,764,793
-841,590,830,413,764,793
-842,589,830,413,764,793
-843,588,830,413,763,792
-845,588,830,412,763,792
-845,587,830,411,763,792
-845,587,830,411,763,792
-846,586,830,410,763,792
-846,586,830,410,763,792
-847,586,830,410,762,792
-849,585,830,410,762,792
-849,585,830,410,761,792
-849,583,830,409,760,792
-851,583,826,409,760,792
-851,583,825,409,759,792
-852,583,825,408,759,791
-852,582,825,408,759,791
-852,582,825,407,759,791
-852,581,825,406,758,791
-854,580,824,406,758,791
-855,580,822,406,758,790
-856,580,820,405,758,790
-856,579,820,405,757,790
-857,578,820,404,757,790
-857,578,820,404,757,790
-857,578,820,404,757,790
-857,578,820,403,757,789
-859,578,820,403,757,789
-859,576,820,403,756,788
-861,576,820,402,756,788
-861,576,820,402,756,788
-862,575,820,402,756,787
-862,574,820,401,756,787
-863,574,820,401,756,786
-863,573,820,401,756,786
-863,573,820,400,756,786
-863,572,820,400,756,786
-864,571,820,400,755,785
-864,571,820,400,755,785
-864,571,820,400,755,785
-865,570,820,400,755,784
-865,570,820,399,755,784
-865,570,820,398,754,784
-865,569,820,398,754,783
-866,569,820,398,754,783
